Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
18,0.084107223,0.035046599,0.188434828,Became Disabled,Disability_Status
19,0.151587772,0.067117902,0.30738123,Became Disabled,Disability_Status
23,0.13519156,0.060395831,0.275460513,Became Disabled,Disability_Status
25,0.107970695,0.045513388,0.235032203,Became Disabled,Disability_Status
27,0.125674194,0.055073786,0.261296842,Became Disabled,Disability_Status
28,0.149961046,0.064859111,0.309740363,Became Disabled,Disability_Status
29,0.074115737,0.030661467,0.168452375,Became Disabled,Disability_Status
30,0.154074389,0.069453409,0.305056641,Became Disabled,Disability_Status
31,0.157963674,0.072619959,0.310069913,Became Disabled,Disability_Status
34,0.079456443,0.033729827,0.175889347,Became Disabled,Disability_Status
36,0.097763394,0.042416353,0.209297358,Became Disabled,Disability_Status
37,0.136559086,0.062497654,0.27284299,Became Disabled,Disability_Status
38,0.134842083,0.060806272,0.272834919,Became Disabled,Disability_Status
39,0.056726484,0.023376471,0.131260551,Became Disabled,Disability_Status
41,0.108965527,0.049196273,0.224224863,Became Disabled,Disability_Status
44,0.13249535,0.05498028,0.278091245,Became Disabled,Disability_Status
45,0.101090653,0.045011114,0.211561479,Became Disabled,Disability_Status
46,0.115863659,0.051882498,0.238867701,Became Disabled,Disability_Status
48,0.086041772,0.03450538,0.198709649,Became Disabled,Disability_Status
49,0.109242309,0.048306753,0.228581783,Became Disabled,Disability_Status
51,0.101635617,0.044373305,0.216172392,Became Disabled,Disability_Status
53,0.137971203,0.057684163,0.293182583,Became Disabled,Disability_Status
54,0.08400905,0.036106674,0.183372865,Became Disabled,Disability_Status
55,0.07500685,0.03259776,0.163277265,Became Disabled,Disability_Status
56,0.051890291,0.020949428,0.122596257,Became Disabled,Disability_Status
57,0.06979802,0.029450994,0.156374205,Became Disabled,Disability_Status
58,0.064761033,0.026875455,0.148015661,Became Disabled,Disability_Status
59,0.080216626,0.034321681,0.176163907,Became Disabled,Disability_Status
60,0.06079617,0.025906379,0.136108678,Became Disabled,Disability_Status
61,0.082878379,0.03569538,0.180783823,Became Disabled,Disability_Status
62,0.08176474,0.036005115,0.175116587,Became Disabled,Disability_Status
63,0.112415369,0.044755374,0.251303461,Became Disabled,Disability_Status
65,0.062979557,0.026657936,0.141590625,Became Disabled,Disability_Status
66,0.077583708,0.033668991,0.16868608,Became Disabled,Disability_Status
68,0.055955794,0.024088784,0.124597337,Became Disabled,Disability_Status
69,0.08358141,0.035968531,0.182302555,Became Disabled,Disability_Status
70,0.040361921,0.016467277,0.095559872,Became Disabled,Disability_Status
71,0.048379694,0.018911735,0.11823076,Became Disabled,Disability_Status
74,0.05451405,0.023069055,0.123406752,Became Disabled,Disability_Status
87,0.050268615,0.020706396,0.116994173,Became Disabled,Disability_Status
89,0.038810488,0.015841012,0.091910839,Became Disabled,Disability_Status
16,0.15127367,0.112054737,0.201110233,Disabled,Disability_Status
17,0.191255469,0.142520372,0.251628202,Disabled,Disability_Status
18,0.143865602,0.10853584,0.188266915,Disabled,Disability_Status
19,0.139715681,0.103269451,0.186785878,Disabled,Disability_Status
20,0.133227231,0.093967116,0.185889475,Disabled,Disability_Status
21,0.140847127,0.102655049,0.190232714,Disabled,Disability_Status
22,0.158682859,0.11323847,0.218036532,Disabled,Disability_Status
23,0.128710658,0.094850271,0.172315318,Disabled,Disability_Status
24,0.120555636,0.087261679,0.164471252,Disabled,Disability_Status
25,0.130234719,0.091420924,0.182123768,Disabled,Disability_Status
26,0.131086996,0.091424993,0.186163242,Disabled,Disability_Status
27,0.107866154,0.073836439,0.156449044,Disabled,Disability_Status
28,0.122330249,0.089023834,0.166550573,Disabled,Disability_Status
29,0.137605746,0.100481174,0.185811855,Disabled,Disability_Status
30,0.123034681,0.087333939,0.172362921,Disabled,Disability_Status
31,0.133230187,0.094167686,0.186423394,Disabled,Disability_Status
32,0.117070596,0.082908797,0.164199208,Disabled,Disability_Status
33,0.113127466,0.080252707,0.15838855,Disabled,Disability_Status
34,0.112499144,0.078662776,0.160256284,Disabled,Disability_Status
35,0.11084927,0.078316502,0.155641133,Disabled,Disability_Status
36,0.112445085,0.079716364,0.157191662,Disabled,Disability_Status
37,0.111425628,0.079251092,0.156133324,Disabled,Disability_Status
38,0.098221021,0.069185049,0.1385165,Disabled,Disability_Status
39,0.111760004,0.075066199,0.163040087,Disabled,Disability_Status
40,0.09011591,0.06448852,0.124737355,Disabled,Disability_Status
41,0.105499254,0.076505513,0.144001068,Disabled,Disability_Status
