Total_Crimes_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
2,0.091531776,0.039556217,0.197674401,Became Disabled,Disability_Status
7,0.114094063,0.051181257,0.235172556,Became Disabled,Disability_Status
12,0.056624086,0.023682166,0.129292399,Became Disabled,Disability_Status
17,0.06712791,0.027889824,0.152779068,Became Disabled,Disability_Status
22,0.090245423,0.039481064,0.19197534,Became Disabled,Disability_Status
27,0.0455809,0.01878194,0.106468796,Became Disabled,Disability_Status
32,0.094167601,0.04022983,0.202869401,Became Disabled,Disability_Status
37,0.090225783,0.039140378,0.194229112,Became Disabled,Disability_Status
42,0.088467432,0.038489151,0.189703457,Became Disabled,Disability_Status
47,0.09364994,0.039842933,0.2023494,Became Disabled,Disability_Status
52,0.152351696,0.068315342,0.305752131,Became Disabled,Disability_Status
57,0.084071111,0.035404128,0.186837433,Became Disabled,Disability_Status
62,0.122264891,0.054005521,0.253937597,Became Disabled,Disability_Status
67,0.084275833,0.035716047,0.186114993,Became Disabled,Disability_Status
72,0.097821764,0.042622095,0.208855928,Became Disabled,Disability_Status
77,0.156883065,0.065723575,0.331069603,Became Disabled,Disability_Status
82,0.077850563,0.032319526,0.175867286,Became Disabled,Disability_Status
87,0.048379694,0.018911735,0.11823076,Became Disabled,Disability_Status
92,0.0839358,0.035452203,0.184922907,Became Disabled,Disability_Status
97,0.204971517,0.092907587,0.393559394,Became Disabled,Disability_Status
102,0.041921717,0.016921035,0.100099542,Became Disabled,Disability_Status
107,0.10982885,0.049592017,0.223412563,Became Disabled,Disability_Status
112,0.08400905,0.036106674,0.183372865,Became Disabled,Disability_Status
122,0.073214079,0.031185096,0.162392082,Became Disabled,Disability_Status
127,0.086533074,0.037007195,0.185095488,Became Disabled,Disability_Status
142,0.08274591,0.034351635,0.186174143,Became Disabled,Disability_Status
207,0.246952275,0.100515226,0.490412649,Became Disabled,Disability_Status
2,0.113210572,0.079829316,0.158461615,Disabled,Disability_Status
7,0.111365992,0.080031842,0.153245206,Disabled,Disability_Status
12,0.099482127,0.071558923,0.137592509,Disabled,Disability_Status
17,0.095859367,0.0711051,0.128277878,Disabled,Disability_Status
22,0.093868705,0.068619089,0.127816108,Disabled,Disability_Status
27,0.09214338,0.065340952,0.128972872,Disabled,Disability_Status
32,0.090120304,0.064169854,0.126095748,Disabled,Disability_Status
37,0.086356121,0.062143469,0.119542514,Disabled,Disability_Status
42,0.081617408,0.058906489,0.112573612,Disabled,Disability_Status
47,0.07817653,0.054614067,0.111770945,Disabled,Disability_Status
52,0.09008475,0.060769589,0.129862293,Disabled,Disability_Status
57,0.083501071,0.057557737,0.12062735,Disabled,Disability_Status
62,0.079633751,0.056522644,0.111195298,Disabled,Disability_Status
67,0.073106982,0.051461437,0.103361146,Disabled,Disability_Status
72,0.073825777,0.049884749,0.108971996,Disabled,Disability_Status
77,0.0708755,0.050422352,0.099010996,Disabled,Disability_Status
