Evictions_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
2,0.092504469,0.040233501,0.194849524,Became Disabled,Disability_Status
7,0.115252679,0.049383608,0.241236895,Became Disabled,Disability_Status
12,0.094227223,0.040487244,0.203213952,Became Disabled,Disability_Status
17,0.081636921,0.035197304,0.177624071,Became Disabled,Disability_Status
22,0.104231577,0.045192768,0.221011763,Became Disabled,Disability_Status
27,0.084550139,0.034135967,0.19094489,Became Disabled,Disability_Status
32,0.073089274,0.031524748,0.160176252,Became Disabled,Disability_Status
37,0.157963674,0.072619959,0.310069913,Became Disabled,Disability_Status
42,0.096759071,0.0420114,0.207348388,Became Disabled,Disability_Status
47,0.094578028,0.040917208,0.203461619,Became Disabled,Disability_Status
2,0.084000947,0.056913553,0.122231139,Disabled,Disability_Status
7,0.085314806,0.059907165,0.120634174,Disabled,Disability_Status
12,0.0810505,0.057347533,0.114065988,Disabled,Disability_Status
17,0.085628201,0.061753389,0.117905689,Disabled,Disability_Status
22,0.087545716,0.062686927,0.121783353,Disabled,Disability_Status
27,0.102136815,0.074126675,0.139795422,Disabled,Disability_Status
32,0.085436616,0.061178418,0.118534338,Disabled,Disability_Status
37,0.08854578,0.063915668,0.121967014,Disabled,Disability_Status
42,0.095435644,0.068839529,0.131315628,Disabled,Disability_Status
47,0.080693178,0.058700976,0.110118191,Disabled,Disability_Status
52,0.092015589,0.06673575,0.125722502,Disabled,Disability_Status
57,0.07938304,0.056391422,0.110649462,Disabled,Disability_Status
62,0.102841375,0.072517235,0.144108887,Disabled,Disability_Status
67,0.09423971,0.057450617,0.150817512,Disabled,Disability_Status
72,0.084034049,0.054229081,0.127989348,Disabled,Disability_Status
87,0.122807294,0.071581526,0.202688517,Disabled,Disability_Status
NA,0.102817678,0.071236662,0.147198576,Disabled,Disability_Status
2,0.092475501,0.051794416,0.159393497,Lost Disabilty Benifits,Disability_Status
7,0.115272767,0.067051759,0.190436835,Lost Disabilty Benifits,Disability_Status
12,0.120370491,0.068379661,0.203157272,Lost Disabilty Benifits,Disability_Status
17,0.122645543,0.073685926,0.196565899,Lost Disabilty Benifits,Disability_Status
22,0.096337821,0.056742077,0.158652718,Lost Disabilty Benifits,Disability_Status
27,0.124414199,0.069781044,0.21140101,Lost Disabilty Benifits,Disability_Status
32,0.121534543,0.073417865,0.194454832,Lost Disabilty Benifits,Disability_Status
37,0.112164593,0.064772624,0.186915257,Lost Disabilty Benifits,Disability_Status
42,0.104434317,0.061055274,0.17300935,Lost Disabilty Benifits,Disability_Status
47,0.108168621,0.063923345,0.17711983,Lost Disabilty Benifits,Disability_Status
52,0.109275467,0.061134199,0.187636902,Lost Disabilty Benifits,Disability_Status
72,0.113241561,0.0647746,0.190568082,Lost Disabilty Benifits,Disability_Status
87,0.066459933,0.033583601,0.12728145,Lost Disabilty Benifits,Disability_Status
NA,0.110702001,0.064390709,0.18335761,Lost Disabilty Benifits,Disability_Status
2,0.109304775,0.079006673,0.150736106,No,Disability_Status
7,0.114210085,0.084403922,0.153669845,No,Disability_Status
12,0.115109935,0.086350206,0.15327383,No,Disability_Status
17,0.116348425,0.08930637,0.151189053,No,Disability_Status
22,0.124765821,0.096053013,0.161544934,No,Disability_Status
27,0.124625004,0.095754036,0.162238026,No,Disability_Status
32,0.129873899,0.099239158,0.170284544,No,Disability_Status
37,0.130284216,0.098980285,0.17156817,No,Disability_Status
42,0.133497217,0.102951508,0.172112608,No,Disability_Status
47,0.131951386,0.099485218,0.175956739,No,Disability_Status
52,0.120562337,0.091296855,0.158469053,No,Disability_Status
57,0.136791347,0.093127747,0.197357026,No,Disability_Status
62,0.119145918,0.087612792,0.160627396,No,Disability_Status
67,0.139363568,0.095076043,0.199332693,No,Disability_Status
72,0.157033717,0.108931699,0.221652201,No,Disability_Status
87,0.160127312,0.097405661,0.252397093,No,Disability_Status
NA,0.113382738,0.079828372,0.16155221,No,Disability_Status
2,0.097820189,0.070307936,0.135621415,Female,Gender
7,0.106184072,0.077322593,0.145273439,Female,Gender
12,0.104594935,0.077794592,0.140597346,Female,Gender
17,0.107541862,0.081466117,0.142010775,Female,Gender
22,0.11611557,0.088417846,0.152204511,Female,Gender
27,0.116943602,0.089358975,0.153070288,Female,Gender
32,0.120708514,0.091820019,0.158528203,Female,Gender
37,0.120347527,0.091878021,0.157062832,Female,Gender
42,0.125487176,0.095596822,0.164344888,Female,Gender
47,0.123233635,0.093407276,0.161740804,Female,Gender
52,0.115045455,0.086977689,0.15129257,Female,Gender
57,0.140987139,0.098939656,0.197237209,Female,Gender
62,0.121987202,0.089870784,0.163758959,Female,Gender
67,0.139363568,0.095076043,0.199332693,Female,Gender
72,0.154364731,0.106965875,0.218524442,Female,Gender
87,0.154440151,0.097795486,0.235778623,Female,Gender
NA,0.106023582,0.075789194,0.147428955,Female,Gender
2,0.114259072,0.080502551,0.160433089,Male,Gender
7,0.115057389,0.083164519,0.158444827,Male,Gender
