Income_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-23539,0.066836659,0.028495775,0.148559787,Became Disabled,Disability_Status
-21039,0.094043739,0.040827471,0.200752738,Became Disabled,Disability_Status
-18539,0.084973989,0.035619991,0.187666351,Became Disabled,Disability_Status
-16039,0.131224986,0.057485697,0.271405357,Became Disabled,Disability_Status
-13539,0.103563167,0.043411788,0.224222245,Became Disabled,Disability_Status
-11039,0.096946734,0.042830362,0.203572681,Became Disabled,Disability_Status
-8539,0.066292734,0.027794554,0.149636945,Became Disabled,Disability_Status
-6039,0.07960742,0.034564753,0.172269551,Became Disabled,Disability_Status
-3539,0.09213984,0.039084936,0.200533689,Became Disabled,Disability_Status
-1039,0.127662662,0.053639011,0.26457083,Became Disabled,Disability_Status
3961,0.114094063,0.051181257,0.235172556,Became Disabled,Disability_Status
6461,0.101090653,0.045011114,0.211561479,Became Disabled,Disability_Status
8961,0.084109405,0.035489468,0.186413285,Became Disabled,Disability_Status
11461,0.056726484,0.023376471,0.131260551,Became Disabled,Disability_Status
13961,0.140406764,0.062998766,0.281057886,Became Disabled,Disability_Status
18961,0.172975817,0.079736593,0.335495535,Became Disabled,Disability_Status
21461,0.098930117,0.042752556,0.212249284,Became Disabled,Disability_Status
26461,0.084484522,0.036485422,0.183597291,Became Disabled,Disability_Status
-23539,0.087369506,0.059594489,0.127608094,Disabled,Disability_Status
-21039,0.08281875,0.057996489,0.117261774,Disabled,Disability_Status
-18539,0.101260953,0.069557943,0.145904374,Disabled,Disability_Status
-16039,0.091356719,0.063746932,0.13000925,Disabled,Disability_Status
-13539,0.103658097,0.073466345,0.144312867,Disabled,Disability_Status
-11039,0.086495598,0.061768978,0.120337133,Disabled,Disability_Status
-8539,0.097174209,0.068907834,0.135639201,Disabled,Disability_Status
-6039,0.094760918,0.064096314,0.140420187,Disabled,Disability_Status
-3539,0.085571355,0.057340241,0.126463515,Disabled,Disability_Status
-1039,0.086839277,0.059906317,0.124031407,Disabled,Disability_Status
1461,0.0848956,0.061551544,0.116414461,Disabled,Disability_Status
3961,0.083705434,0.058551601,0.117994564,Disabled,Disability_Status
6461,0.079951989,0.056370701,0.113259007,Disabled,Disability_Status
8961,0.093378825,0.067681096,0.128067839,Disabled,Disability_Status
11461,0.08184771,0.058256078,0.114715739,Disabled,Disability_Status
13961,0.088602566,0.062016072,0.126846884,Disabled,Disability_Status
16461,0.07891189,0.056659669,0.109187308,Disabled,Disability_Status
18961,0.084758878,0.05915071,0.120409614,Disabled,Disability_Status
21461,0.08624782,0.061608491,0.119925881,Disabled,Disability_Status
23961,0.089352755,0.064120044,0.123527652,Disabled,Disability_Status
26461,0.084024381,0.061687721,0.113512779,Disabled,Disability_Status
28961,0.082770697,0.059790513,0.113787639,Disabled,Disability_Status
31461,0.084056865,0.060466884,0.116072684,Disabled,Disability_Status
33961,0.090324204,0.065090227,0.124409746,Disabled,Disability_Status
36461,0.101083485,0.071672122,0.140734112,Disabled,Disability_Status
38961,0.076257151,0.052079673,0.110640713,Disabled,Disability_Status
41461,0.091075497,0.065845612,0.124800903,Disabled,Disability_Status
43961,0.097763297,0.071356712,0.132696395,Disabled,Disability_Status
46461,0.087262088,0.061802798,0.121877244,Disabled,Disability_Status
48961,0.088081114,0.063665673,0.120719112,Disabled,Disability_Status
51461,0.097724518,0.067078149,0.141910626,Disabled,Disability_Status
53961,0.081326722,0.0583992,0.112338065,Disabled,Disability_Status
56461,0.106664786,0.076781395,0.146361683,Disabled,Disability_Status
58961,0.076679367,0.053720836,0.108621981,Disabled,Disability_Status
61461,0.099396904,0.066011715,0.147328644,Disabled,Disability_Status
63961,0.065236734,0.042847977,0.09812468,Disabled,Disability_Status
68961,0.066157317,0.042767672,0.100989212,Disabled,Disability_Status
73961,0.123222473,0.072819674,0.204336666,Disabled,Disability_Status
81461,0.084970902,0.050508078,0.139493848,Disabled,Disability_Status
86461,0.105284173,0.058276594,0.183372161,Disabled,Disability_Status
91461,0.045306872,0.026990616,0.075093546,Disabled,Disability_Status
96461,0.074138455,0.047193677,0.114616515,Disabled,Disability_Status
-23539,0.115049911,0.068034002,0.187386251,Lost Disabilty Benifits,Disability_Status
-21039,0.133625833,0.079371204,0.214449998,Lost Disabilty Benifits,Disability_Status
-18539,0.114969656,0.066468408,0.191650207,Lost Disabilty Benifits,Disability_Status
-16039,0.091387941,0.04974829,0.161640214,Lost Disabilty Benifits,Disability_Status
-13539,0.105783398,0.060526814,0.178377778,Lost Disabilty Benifits,Disability_Status
-11039,0.124478881,0.073047378,0.203693394,Lost Disabilty Benifits,Disability_Status
-8539,0.115153286,0.067001607,0.190246705,Lost Disabilty Benifits,Disability_Status
-6039,0.097931732,0.058112925,0.160339384,Lost Disabilty Benifits,Disability_Status
-3539,0.074739641,0.041640552,0.13089548,Lost Disabilty Benifits,Disability_Status
-1039,0.111839182,0.066741792,0.181426791,Lost Disabilty Benifits,Disability_Status
1461,0.093294482,0.052724432,0.159881243,Lost Disabilty Benifits,Disability_Status
3961,0.124405244,0.071353115,0.207861261,Lost Disabilty Benifits,Disability_Status
6461,0.111892759,0.062385843,0.191947367,Lost Disabilty Benifits,Disability_Status
8961,0.124157644,0.074846359,0.198791891,Lost Disabilty Benifits,Disability_Status
11461,0.144768246,0.084936696,0.235335878,Lost Disabilty Benifits,Disability_Status
13961,0.099921844,0.056811792,0.169582299,Lost Disabilty Benifits,Disability_Status
16461,0.093867984,0.05166571,0.164307328,Lost Disabilty Benifits,Disability_Status
18961,0.098022276,0.058777088,0.159043492,Lost Disabilty Benifits,Disability_Status
23961,0.125577843,0.073175428,0.207248689,Lost Disabilty Benifits,Disability_Status
26461,0.045057427,0.025596387,0.0781284,Lost Disabilty Benifits,Disability_Status
