Income_Change_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-35330,0.167740397,0.068826809,0.35466364,Became Disabled,Disability_Status
-32830,0.107970695,0.045513388,0.235032203,Became Disabled,Disability_Status
-30330,0.061694025,0.026564074,0.136755213,Became Disabled,Disability_Status
-27830,0.078757288,0.033565119,0.173695811,Became Disabled,Disability_Status
-25330,0.095744593,0.040793317,0.204526961,Became Disabled,Disability_Status
-22830,0.102346924,0.044866499,0.214801449,Became Disabled,Disability_Status
-20330,0.086895845,0.037114772,0.19012204,Became Disabled,Disability_Status
-17830,0.124614041,0.053827911,0.26226981,Became Disabled,Disability_Status
-15330,0.090499414,0.038221289,0.19945361,Became Disabled,Disability_Status
-12830,0.093686491,0.040493442,0.201308783,Became Disabled,Disability_Status
-5330,0.079456443,0.033729827,0.175889347,Became Disabled,Disability_Status
-75330,0.067974105,0.042454636,0.107117315,Disabled,Disability_Status
-62830,0.112246672,0.074697413,0.16534411,Disabled,Disability_Status
-52830,0.078643012,0.05298753,0.115209169,Disabled,Disability_Status
-50330,0.073153765,0.044971767,0.116835745,Disabled,Disability_Status
-47830,0.063420087,0.043326944,0.092093392,Disabled,Disability_Status
-45330,0.098615095,0.062216724,0.153274855,Disabled,Disability_Status
-42830,0.069665277,0.047884342,0.1006454,Disabled,Disability_Status
-40330,0.088376133,0.05826937,0.131718921,Disabled,Disability_Status
-37830,0.142670744,0.106151501,0.188821953,Disabled,Disability_Status
-35330,0.093307204,0.068993074,0.125020461,Disabled,Disability_Status
-32830,0.080877761,0.056767126,0.114590791,Disabled,Disability_Status
-30330,0.103148492,0.07090389,0.148401403,Disabled,Disability_Status
-27830,0.110641096,0.078124557,0.154693641,Disabled,Disability_Status
-25330,0.083288034,0.057194516,0.120535253,Disabled,Disability_Status
-22830,0.09429602,0.067304569,0.131127784,Disabled,Disability_Status
-20330,0.099368782,0.067836947,0.143959885,Disabled,Disability_Status
-17830,0.104020485,0.073497764,0.145008459,Disabled,Disability_Status
-15330,0.103395944,0.074184503,0.143141817,Disabled,Disability_Status
-12830,0.085665917,0.061431317,0.118924246,Disabled,Disability_Status
-10330,0.085316822,0.060844115,0.1194905,Disabled,Disability_Status
-7830,0.082224604,0.059341431,0.113603289,Disabled,Disability_Status
-5330,0.083088857,0.059817166,0.115135265,Disabled,Disability_Status
-2830,0.084973951,0.061460294,0.116782141,Disabled,Disability_Status
-330,0.073917631,0.052370145,0.103927848,Disabled,Disability_Status
2170,0.095411543,0.068541913,0.131724081,Disabled,Disability_Status
4670,0.100069555,0.069976203,0.140947074,Disabled,Disability_Status
7170,0.089399946,0.063836736,0.124362529,Disabled,Disability_Status
9670,0.083936077,0.057958907,0.120887653,Disabled,Disability_Status
12170,0.114737,0.079837233,0.162582907,Disabled,Disability_Status
14670,0.097970715,0.072543363,0.131638533,Disabled,Disability_Status
17170,0.09838033,0.069129775,0.138041371,Disabled,Disability_Status
19670,0.118019654,0.085417999,0.16115606,Disabled,Disability_Status
22170,0.088973427,0.06353378,0.123004681,Disabled,Disability_Status
27170,0.078455513,0.051554489,0.117248969,Disabled,Disability_Status
29670,0.092223635,0.065604605,0.128356935,Disabled,Disability_Status
32170,0.091159979,0.057720938,0.140747371,Disabled,Disability_Status
34670,0.116416269,0.061523204,0.209360609,Disabled,Disability_Status
42170,0.142300495,0.070684468,0.265728607,Disabled,Disability_Status
