Total_Permits_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
3,0.080868497,0.033876476,0.180844128,Became Disabled,Disability_Status
24,0.115863659,0.051882498,0.238867701,Became Disabled,Disability_Status
38,0.085999902,0.03699794,0.186756445,Became Disabled,Disability_Status
52,0.101634319,0.044108536,0.216543138,Became Disabled,Disability_Status
59,0.072536002,0.030811213,0.161111836,Became Disabled,Disability_Status
66,0.166498092,0.0760084,0.325490766,Became Disabled,Disability_Status
73,0.092325689,0.040437633,0.197014004,Became Disabled,Disability_Status
80,0.100397521,0.043517446,0.214716831,Became Disabled,Disability_Status
87,0.074115737,0.030661467,0.168452375,Became Disabled,Disability_Status
94,0.117987382,0.04854989,0.244429902,Became Disabled,Disability_Status
101,0.056726484,0.023376471,0.131260551,Became Disabled,Disability_Status
108,0.113546488,0.050432318,0.235261085,Became Disabled,Disability_Status
115,0.064167207,0.026802948,0.145873982,Became Disabled,Disability_Status
122,0.087147108,0.037263919,0.190580808,Became Disabled,Disability_Status
129,0.160931765,0.072275098,0.320897941,Became Disabled,Disability_Status
136,0.066228822,0.027848339,0.149330395,Became Disabled,Disability_Status
143,0.088718068,0.039027458,0.187778372,Became Disabled,Disability_Status
157,0.081384596,0.03365667,0.183913457,Became Disabled,Disability_Status
164,0.111145115,0.047527935,0.238585263,Became Disabled,Disability_Status
171,0.093114929,0.037526601,0.208671225,Became Disabled,Disability_Status
185,0.141026073,0.061114305,0.292838094,Became Disabled,Disability_Status
206,0.079456443,0.033729827,0.175889347,Became Disabled,Disability_Status
227,0.0455809,0.01878194,0.106468796,Became Disabled,Disability_Status
346,0.032040075,0.012900084,0.077352882,Became Disabled,Disability_Status
367,0.149961046,0.064859111,0.309740363,Became Disabled,Disability_Status
374,0.077850563,0.032319526,0.175867286,Became Disabled,Disability_Status
430,0.041921717,0.016921035,0.100099542,Became Disabled,Disability_Status
626,0.167740397,0.068826809,0.35466364,Became Disabled,Disability_Status
766,0.086041772,0.03450538,0.198709649,Became Disabled,Disability_Status
3,0.119756923,0.083783501,0.168535082,Disabled,Disability_Status
10,0.115874242,0.080088338,0.165070598,Disabled,Disability_Status
17,0.084276152,0.060582832,0.116290942,Disabled,Disability_Status
24,0.09418374,0.066125785,0.132737335,Disabled,Disability_Status
31,0.094023666,0.068776303,0.127142474,Disabled,Disability_Status
38,0.087971687,0.061429846,0.124617701,Disabled,Disability_Status
45,0.082637158,0.059746624,0.113734215,Disabled,Disability_Status
52,0.097085576,0.069734451,0.134342118,Disabled,Disability_Status
59,0.098684245,0.073243063,0.131920263,Disabled,Disability_Status
66,0.091024078,0.065866361,0.125137536,Disabled,Disability_Status
73,0.087090398,0.062874909,0.120018404,Disabled,Disability_Status
80,0.093348206,0.067083369,0.129073678,Disabled,Disability_Status
87,0.084684676,0.061847805,0.115163208,Disabled,Disability_Status
94,0.09050707,0.066369486,0.122392635,Disabled,Disability_Status
101,0.08113278,0.058103079,0.112738429,Disabled,Disability_Status
108,0.0947946,0.067543434,0.13278239,Disabled,Disability_Status
115,0.085149052,0.062179412,0.115858845,Disabled,Disability_Status
122,0.081239263,0.05841942,0.112758971,Disabled,Disability_Status
129,0.090956872,0.064166463,0.127778598,Disabled,Disability_Status
136,0.073809752,0.053077523,0.102368314,Disabled,Disability_Status
143,0.073907025,0.052942884,0.10303843,Disabled,Disability_Status
150,0.094634431,0.067688943,0.130318461,Disabled,Disability_Status
157,0.076010727,0.054405358,0.106172549,Disabled,Disability_Status
164,0.073874514,0.052625131,0.103714718,Disabled,Disability_Status
171,0.085862657,0.060072494,0.121228965,Disabled,Disability_Status
178,0.085334809,0.059459954,0.123550362,Disabled,Disability_Status
185,0.076538747,0.055359858,0.104799599,Disabled,Disability_Status
192,0.092806717,0.065779322,0.129318331,Disabled,Disability_Status
199,0.088561097,0.058427867,0.13302797,Disabled,Disability_Status
206,0.089273866,0.060556539,0.129749449,Disabled,Disability_Status
213,0.085770081,0.060579826,0.119818052,Disabled,Disability_Status
220,0.064985179,0.046524713,0.090084504,Disabled,Disability_Status
227,0.080128351,0.053145855,0.120695484,Disabled,Disability_Status
234,0.058684314,0.040157107,0.085515697,Disabled,Disability_Status
241,0.111644215,0.080698356,0.152195182,Disabled,Disability_Status
248,0.106953368,0.07542271,0.149459994,Disabled,Disability_Status
255,0.100009485,0.058740349,0.165789081,Disabled,Disability_Status
262,0.072666301,0.049167977,0.107504002,Disabled,Disability_Status
269,0.080275217,0.057681504,0.110220456,Disabled,Disability_Status
276,0.054687766,0.037520225,0.078948844,Disabled,Disability_Status
283,0.047177006,0.025627911,0.088043412,Disabled,Disability_Status
290,0.04839087,0.033423553,0.069593798,Disabled,Disability_Status
297,0.131063368,0.092371682,0.18269951,Disabled,Disability_Status
304,0.04034081,0.027284355,0.059167178,Disabled,Disability_Status
311,0.028440997,0.0168673,0.047870892,Disabled,Disability_Status
318,0.027462017,0.013889833,0.053888575,Disabled,Disability_Status
325,0.052924821,0.03190396,0.087767959,Disabled,Disability_Status
346,0.06124321,0.041584082,0.089323023,Disabled,Disability_Status
353,0.099265912,0.058519348,0.163648323,Disabled,Disability_Status
360,0.062251595,0.041529338,0.092315893,Disabled,Disability_Status
367,0.050591739,0.034948189,0.072710091,Disabled,Disability_Status
374,0.068434818,0.043576267,0.105427071,Disabled,Disability_Status
381,0.048122578,0.030911893,0.074182073,Disabled,Disability_Status
388,0.074745603,0.050915943,0.108356764,Disabled,Disability_Status
395,0.049834049,0.029094266,0.08407786,Disabled,Disability_Status
402,0.038052864,0.024237923,0.059722733,Disabled,Disability_Status
409,0.042523724,0.027012814,0.066333885,Disabled,Disability_Status
416,0.033371531,0.021135316,0.052978889,Disabled,Disability_Status
430,0.033623779,0.021787686,0.05155094,Disabled,Disability_Status
437,0.048053839,0.03155204,0.072539672,Disabled,Disability_Status
444,0.058956782,0.037379381,0.091801974,Disabled,Disability_Status
458,0.033927363,0.020413435,0.055877349,Disabled,Disability_Status
465,0.079705903,0.051056858,0.122347794,Disabled,Disability_Status
472,0.05030105,0.0322681,0.07760353,Disabled,Disability_Status
479,0.080691743,0.049959815,0.127609475,Disabled,Disability_Status
486,0.037427485,0.021256864,0.065081515,Disabled,Disability_Status
493,0.078954974,0.051283848,0.119673195,Disabled,Disability_Status
500,0.059259665,0.037813752,0.091709246,Disabled,Disability_Status
528,0.056604511,0.034493486,0.091591901,Disabled,Disability_Status
535,0.037369665,0.023435383,0.059140316,Disabled,Disability_Status
542,0.099498806,0.059666911,0.161358443,Disabled,Disability_Status
549,0.033082007,0.019403591,0.055853693,Disabled,Disability_Status
556,0.062781833,0.039403459,0.098607934,Disabled,Disability_Status
563,0.0836228,0.050388016,0.135647197,Disabled,Disability_Status
570,0.034757313,0.020492232,0.05836096,Disabled,Disability_Status
577,0.044796856,0.023872332,0.084170738,Disabled,Disability_Status
591,0.044925198,0.024327611,0.081505401,Disabled,Disability_Status
598,0.043306809,0.024241732,0.07619491,Disabled,Disability_Status
605,0.146596713,0.097040184,0.215423062,Disabled,Disability_Status
612,0.078904484,0.045437333,0.133667597,Disabled,Disability_Status
619,0.057137333,0.032689991,0.098046236,Disabled,Disability_Status
626,0.057512943,0.032008074,0.101215739,Disabled,Disability_Status
640,0.060290426,0.040108636,0.08967717,Disabled,Disability_Status
647,0.046980598,0.029368496,0.074345581,Disabled,Disability_Status
668,0.066851332,0.042019591,0.1061839,Disabled,Disability_Status
703,0.083190293,0.054165939,0.125688026,Disabled,Disability_Status
710,0.112541356,0.066114041,0.185109058,Disabled,Disability_Status
717,0.060723655,0.039072986,0.09320651,Disabled,Disability_Status
731,0.032285022,0.020590606,0.050280296,Disabled,Disability_Status
738,0.055805363,0.035942507,0.085669565,Disabled,Disability_Status
752,0.083469634,0.051099192,0.13346202,Disabled,Disability_Status
766,0.055169663,0.033869202,0.088637057,Disabled,Disability_Status
780,0.086657798,0.052019644,0.14093148,Disabled,Disability_Status
794,0.070795759,0.042993023,0.114455081,Disabled,Disability_Status
801,0.048871936,0.029715539,0.079367527,Disabled,Disability_Status
808,0.08591464,0.053334678,0.135546245,Disabled,Disability_Status
815,0.1028282,0.062081436,0.165597003,Disabled,Disability_Status
885,0.072466147,0.03944049,0.129404579,Disabled,Disability_Status
948,0.248904632,0.123007767,0.439134598,Disabled,Disability_Status
1032,0.184779349,0.089752834,0.342217401,Disabled,Disability_Status
1284,0.384677427,0.15595894,0.678980559,Disabled,Disability_Status
3,0.136220145,0.078704868,0.225270646,Lost Disabilty Benifits,Disability_Status
10,0.066459933,0.033583601,0.12728145,Lost Disabilty Benifits,Disability_Status
17,0.131658869,0.076698361,0.216757158,Lost Disabilty Benifits,Disability_Status
24,0.098990796,0.054259208,0.173821581,Lost Disabilty Benifits,Disability_Status
38,0.136917726,0.079331229,0.226042982,Lost Disabilty Benifits,Disability_Status
45,0.10465791,0.062203957,0.170919278,Lost Disabilty Benifits,Disability_Status
52,0.104347995,0.060894307,0.173182976,Lost Disabilty Benifits,Disability_Status
59,0.118607631,0.070651061,0.192117135,Lost Disabilty Benifits,Disability_Status
66,0.131268414,0.077652855,0.212866396,Lost Disabilty Benifits,Disability_Status
73,0.126595293,0.076073964,0.202835,Lost Disabilty Benifits,Disability_Status
80,0.121915599,0.070867757,0.201464949,Lost Disabilty Benifits,Disability_Status
87,0.093581925,0.054544927,0.155661754,Lost Disabilty Benifits,Disability_Status
94,0.131851447,0.078677264,0.212192581,Lost Disabilty Benifits,Disability_Status
101,0.112650546,0.065897024,0.18578757,Lost Disabilty Benifits,Disability_Status
108,0.128663484,0.077480427,0.205847772,Lost Disabilty Benifits,Disability_Status
115,0.103247447,0.062478784,0.165411292,Lost Disabilty Benifits,Disability_Status
122,0.139452238,0.078935333,0.23368228,Lost Disabilty Benifits,Disability_Status
129,0.0813143,0.045707746,0.141459689,Lost Disabilty Benifits,Disability_Status
136,0.051258146,0.026224205,0.097699752,Lost Disabilty Benifits,Disability_Status
143,0.084629712,0.050643807,0.138130489,Lost Disabilty Benifits,Disability_Status
150,0.103366856,0.06027314,0.170074739,Lost Disabilty Benifits,Disability_Status
157,0.16105282,0.092305261,0.265970438,Lost Disabilty Benifits,Disability_Status
164,0.067841481,0.038719212,0.11650472,Lost Disabilty Benifits,Disability_Status
171,0.118917574,0.066728579,0.202132508,Lost Disabilty Benifits,Disability_Status
178,0.072084559,0.042125399,0.120666309,Lost Disabilty Benifits,Disability_Status
185,0.080235822,0.046745272,0.134339173,Lost Disabilty Benifits,Disability_Status
192,0.100402893,0.059232904,0.164762027,Lost Disabilty Benifits,Disability_Status
206,0.082715821,0.046533711,0.142817188,Lost Disabilty Benifits,Disability_Status
213,0.180413342,0.109764497,0.282123984,Lost Disabilty Benifits,Disability_Status
234,0.0479704,0.027242715,0.083121203,Lost Disabilty Benifits,Disability_Status
269,0.066883365,0.036825746,0.118457108,Lost Disabilty Benifits,Disability_Status
297,0.025353695,0.011573694,0.054633733,Lost Disabilty Benifits,Disability_Status
353,0.133618657,0.074488274,0.228118565,Lost Disabilty Benifits,Disability_Status
367,0.048273058,0.025599229,0.089191357,Lost Disabilty Benifits,Disability_Status
395,0.107139387,0.060675321,0.182280078,Lost Disabilty Benifits,Disability_Status
416,0.090631611,0.049205613,0.161027291,Lost Disabilty Benifits,Disability_Status
444,0.051523947,0.027854879,0.093373521,Lost Disabilty Benifits,Disability_Status
507,0.102706923,0.056442338,0.179672469,Lost Disabilty Benifits,Disability_Status
528,0.096392541,0.053750312,0.166897694,Lost Disabilty Benifits,Disability_Status
535,0.113757043,0.056858142,0.214637465,Lost Disabilty Benifits,Disability_Status
570,0.077769224,0.039218546,0.14836252,Lost Disabilty Benifits,Disability_Status
584,0.122313245,0.063364316,0.223043886,Lost Disabilty Benifits,Disability_Status
591,0.05299982,0.026956498,0.101577616,Lost Disabilty Benifits,Disability_Status
647,0.07810951,0.041438478,0.142411286,Lost Disabilty Benifits,Disability_Status
654,0.068272583,0.031662149,0.141048948,Lost Disabilty Benifits,Disability_Status
661,0.142269265,0.077602206,0.246427624,Lost Disabilty Benifits,Disability_Status
675,0.089801255,0.043384599,0.176705256,Lost Disabilty Benifits,Disability_Status
710,0.143545629,0.070582868,0.270019039,Lost Disabilty Benifits,Disability_Status
773,0.162286458,0.080595132,0.29978161,Lost Disabilty Benifits,Disability_Status
808,0.074113392,0.03881053,0.136953026,Lost Disabilty Benifits,Disability_Status
