Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
729,0.056726484,0.023376471,0.131260551,Became Disabled,Disability_Status
744,0.061745477,0.026582461,0.136881124,Became Disabled,Disability_Status
819,0.085142759,0.036824162,0.184704171,Became Disabled,Disability_Status
824,0.062979557,0.026657936,0.141590625,Became Disabled,Disability_Status
849,0.050268615,0.020706396,0.116994173,Became Disabled,Disability_Status
889,0.100161143,0.042546644,0.217878745,Became Disabled,Disability_Status
899,0.073214079,0.031185096,0.162392082,Became Disabled,Disability_Status
909,0.06079617,0.025906379,0.136108678,Became Disabled,Disability_Status
924,0.081406693,0.035282439,0.176779346,Became Disabled,Disability_Status
929,0.07500685,0.03259776,0.163277265,Became Disabled,Disability_Status
939,0.091943362,0.03946064,0.199714967,Became Disabled,Disability_Status
944,0.061694025,0.026564074,0.136755213,Became Disabled,Disability_Status
949,0.204971517,0.092907587,0.393559394,Became Disabled,Disability_Status
964,0.107970695,0.045513388,0.235032203,Became Disabled,Disability_Status
979,0.084107223,0.035046599,0.188434828,Became Disabled,Disability_Status
984,0.127730446,0.057104574,0.26140066,Became Disabled,Disability_Status
1009,0.079041639,0.033413583,0.175654342,Became Disabled,Disability_Status
1014,0.061858864,0.02497782,0.145092971,Became Disabled,Disability_Status
1034,0.151616658,0.058325652,0.34021484,Became Disabled,Disability_Status
1049,0.070682894,0.030852559,0.153774868,Became Disabled,Disability_Status
1089,0.048379694,0.018911735,0.11823076,Became Disabled,Disability_Status
1099,0.06664795,0.028667167,0.147317186,Became Disabled,Disability_Status
1104,0.115863659,0.051882498,0.238867701,Became Disabled,Disability_Status
1119,0.109242309,0.048306753,0.228581783,Became Disabled,Disability_Status
1139,0.108269611,0.047784301,0.22655101,Became Disabled,Disability_Status
1144,0.040361921,0.016467277,0.095559872,Became Disabled,Disability_Status
1179,0.086715119,0.037977177,0.185913304,Became Disabled,Disability_Status
1219,0.110384028,0.048008544,0.233890545,Became Disabled,Disability_Status
1239,0.157963674,0.072619959,0.310069913,Became Disabled,Disability_Status
1254,0.246952275,0.100515226,0.490412649,Became Disabled,Disability_Status
1269,0.0455809,0.01878194,0.106468796,Became Disabled,Disability_Status
1274,0.108965527,0.049196273,0.224224863,Became Disabled,Disability_Status
1289,0.101090653,0.045011114,0.211561479,Became Disabled,Disability_Status
1309,0.136559086,0.062497654,0.27284299,Became Disabled,Disability_Status
1344,0.084275833,0.035716047,0.186114993,Became Disabled,Disability_Status
1369,0.114094063,0.051181257,0.235172556,Became Disabled,Disability_Status
1409,0.095723475,0.041281485,0.206275965,Became Disabled,Disability_Status
1414,0.084484522,0.036485422,0.183597291,Became Disabled,Disability_Status
1454,0.079456443,0.033729827,0.175889347,Became Disabled,Disability_Status
1509,0.090499414,0.038221289,0.19945361,Became Disabled,Disability_Status
1579,0.172975817,0.079736593,0.335495535,Became Disabled,Disability_Status
1629,0.041921717,0.016921035,0.100099542,Became Disabled,Disability_Status
1709,0.055955794,0.024088784,0.124597337,Became Disabled,Disability_Status
1724,0.141026073,0.061114305,0.292838094,Became Disabled,Disability_Status
1804,0.077850563,0.032319526,0.175867286,Became Disabled,Disability_Status
1874,0.081384596,0.03365667,0.183913457,Became Disabled,Disability_Status
1889,0.05451405,0.023069055,0.123406752,Became Disabled,Disability_Status
1979,0.162149471,0.073121498,0.321924366,Became Disabled,Disability_Status
2174,0.074115737,0.030661467,0.168452375,Became Disabled,Disability_Status
2244,0.08400905,0.036106674,0.183372865,Became Disabled,Disability_Status
2279,0.032040075,0.012900084,0.077352882,Became Disabled,Disability_Status
2429,0.080868497,0.033876476,0.180844128,Became Disabled,Disability_Status
2639,0.167740397,0.068826809,0.35466364,Became Disabled,Disability_Status
2934,0.148887712,0.064813603,0.306300346,Became Disabled,Disability_Status
2974,0.06782804,0.027186835,0.159276109,Became Disabled,Disability_Status
3059,0.149961046,0.064859111,0.309740363,Became Disabled,Disability_Status
3184,0.086041772,0.03450538,0.198709649,Became Disabled,Disability_Status
534,0.072630683,0.051057966,0.102309626,Disabled,Disability_Status
539,0.08577501,0.06590883,0.110918188,Disabled,Disability_Status
564,0.095048176,0.0679675,0.131397601,Disabled,Disability_Status
569,0.05897933,0.043671009,0.079209331,Disabled,Disability_Status
574,0.043793197,0.029413865,0.064733209,Disabled,Disability_Status
579,0.085653296,0.056794741,0.128612766,Disabled,Disability_Status
584,0.091688178,0.063687406,0.129661999,Disabled,Disability_Status
589,0.089778017,0.066217093,0.120590615,Disabled,Disability_Status
594,0.092232045,0.061986111,0.137842718,Disabled,Disability_Status
599,0.093684281,0.070454388,0.123725049,Disabled,Disability_Status
604,0.04853326,0.034178969,0.068591641,Disabled,Disability_Status
609,0.05988126,0.04380864,0.081434309,Disabled,Disability_Status
614,0.063379644,0.045600987,0.087454594,Disabled,Disability_Status
619,0.056545343,0.041694109,0.076265519,Disabled,Disability_Status
624,0.081245473,0.058346598,0.112196174,Disabled,Disability_Status
629,0.06128027,0.04510647,0.082716854,Disabled,Disability_Status
634,0.078313937,0.056962616,0.107301906,Disabled,Disability_Status
644,0.070976147,0.052466084,0.095503579,Disabled,Disability_Status
649,0.086587119,0.061895932,0.119849469,Disabled,Disability_Status
654,0.054128873,0.040096024,0.073404743,Disabled,Disability_Status
659,0.103017479,0.076648284,0.137286767,Disabled,Disability_Status
669,0.079296198,0.0582615,0.107434741,Disabled,Disability_Status
674,0.109269153,0.082817388,0.142853676,Disabled,Disability_Status
679,0.096208458,0.07385593,0.124708547,Disabled,Disability_Status
684,0.069060693,0.047908951,0.098475558,Disabled,Disability_Status
689,0.066354484,0.051822046,0.084598637,Disabled,Disability_Status
694,0.12750423,0.091670085,0.17468908,Disabled,Disability_Status
699,0.075472244,0.055086101,0.102593708,Disabled,Disability_Status
709,0.100207432,0.069231823,0.142735923,Disabled,Disability_Status
714,0.085980008,0.058027987,0.125235653,Disabled,Disability_Status
719,0.117504357,0.082633737,0.164321471,Disabled,Disability_Status
724,0.081835298,0.058029075,0.114388073,Disabled,Disability_Status
729,0.046702256,0.034121922,0.063617767,Disabled,Disability_Status
734,0.107285774,0.075657106,0.149960202,Disabled,Disability_Status
739,0.105743119,0.076362148,0.146442832,Disabled,Disability_Status
744,0.090626918,0.067339316,0.121011855,Disabled,Disability_Status
749,0.115034455,0.082121726,0.159001627,Disabled,Disability_Status
754,0.073284915,0.055276361,0.096823885,Disabled,Disability_Status
759,0.065918818,0.049081619,0.08798801,Disabled,Disability_Status
764,0.092456356,0.066100213,0.128114521,Disabled,Disability_Status
769,0.10302363,0.07674209,0.136930266,Disabled,Disability_Status
774,0.088093964,0.064776044,0.118847907,Disabled,Disability_Status
779,0.092249982,0.069023891,0.122244509,Disabled,Disability_Status
784,0.089602263,0.062836938,0.128314829,Disabled,Disability_Status
789,0.099773578,0.07655899,0.12901961,Disabled,Disability_Status
794,0.115653525,0.081553458,0.161148411,Disabled,Disability_Status
799,0.110767568,0.084330989,0.144274969,Disabled,Disability_Status
804,0.094924781,0.067917797,0.131128639,Disabled,Disability_Status
809,0.078088074,0.046813794,0.129622919,Disabled,Disability_Status
814,0.078996955,0.054340854,0.114009206,Disabled,Disability_Status
819,0.093030085,0.064606499,0.132169416,Disabled,Disability_Status
824,0.132875249,0.077891977,0.220647268,Disabled,Disability_Status
829,0.083974866,0.06038565,0.115746286,Disabled,Disability_Status
834,0.090752155,0.066062052,0.123998417,Disabled,Disability_Status
839,0.088692933,0.062534096,0.124183785,Disabled,Disability_Status
844,0.095855289,0.07132422,0.127565523,Disabled,Disability_Status
849,0.110677343,0.078809588,0.153208512,Disabled,Disability_Status
854,0.100500316,0.07546559,0.132781199,Disabled,Disability_Status
859,0.12431451,0.092396145,0.165794622,Disabled,Disability_Status
864,0.13548338,0.081966729,0.214207019,Disabled,Disability_Status
869,0.086912081,0.063714796,0.117656134,Disabled,Disability_Status
874,0.103130507,0.077750792,0.135529434,Disabled,Disability_Status
879,0.10311486,0.076716805,0.137315166,Disabled,Disability_Status
884,0.111784774,0.081863751,0.151353358,Disabled,Disability_Status
889,0.104180687,0.075633912,0.141875771,Disabled,Disability_Status
894,0.096129538,0.070078111,0.13030287,Disabled,Disability_Status
899,0.082005061,0.060331914,0.110640664,Disabled,Disability_Status
904,0.090963853,0.066679671,0.123752531,Disabled,Disability_Status
909,0.102595853,0.076764233,0.135947953,Disabled,Disability_Status
914,0.07556694,0.054952812,0.103108718,Disabled,Disability_Status
919,0.103617507,0.075546997,0.141473708,Disabled,Disability_Status
924,0.083238632,0.060378813,0.113775665,Disabled,Disability_Status
929,0.082687492,0.059315134,0.114217656,Disabled,Disability_Status
934,0.089798855,0.065182184,0.122434623,Disabled,Disability_Status
939,0.062183686,0.043236262,0.089149626,Disabled,Disability_Status
944,0.103025553,0.061779378,0.1669176,Disabled,Disability_Status
949,0.072544429,0.051714328,0.101066362,Disabled,Disability_Status
954,0.085458888,0.062942381,0.115252451,Disabled,Disability_Status
959,0.101459748,0.074769984,0.136018879,Disabled,Disability_Status
964,0.131581587,0.093384207,0.182439511,Disabled,Disability_Status
969,0.067217683,0.048004514,0.093405542,Disabled,Disability_Status
974,0.097147738,0.068982079,0.13621531,Disabled,Disability_Status
979,0.081807063,0.058003269,0.114710224,Disabled,Disability_Status
984,0.124215803,0.086290939,0.176019003,Disabled,Disability_Status
989,0.092798449,0.067736611,0.127699487,Disabled,Disability_Status
994,0.074445787,0.051382573,0.10739234,Disabled,Disability_Status
999,0.056343739,0.038937061,0.080970858,Disabled,Disability_Status
1004,0.080378576,0.059453154,0.108150088,Disabled,Disability_Status
1009,0.081302585,0.06164403,0.106919263,Disabled,Disability_Status
1014,0.084961454,0.06351142,0.112915609,Disabled,Disability_Status
1019,0.049313969,0.034919582,0.069266908,Disabled,Disability_Status
1024,0.099102891,0.072433609,0.134207467,Disabled,Disability_Status
1029,0.108580899,0.076124703,0.152626174,Disabled,Disability_Status
1034,0.082532622,0.057482925,0.117785524,Disabled,Disability_Status
1039,0.088579959,0.065233648,0.119306068,Disabled,Disability_Status
1044,0.098044065,0.071305294,0.13357392,Disabled,Disability_Status
1049,0.097814539,0.065165528,0.143363819,Disabled,Disability_Status
1054,0.090572384,0.066175356,0.12301211,Disabled,Disability_Status
1059,0.074744995,0.052682524,0.105684897,Disabled,Disability_Status
1064,0.084008535,0.059619166,0.117261408,Disabled,Disability_Status
1069,0.094322423,0.072841403,0.121287471,Disabled,Disability_Status
1074,0.071898452,0.053768149,0.09622886,Disabled,Disability_Status
1079,0.09030546,0.061907387,0.130938034,Disabled,Disability_Status
1084,0.041257213,0.026760641,0.063199717,Disabled,Disability_Status
1089,0.092769319,0.062801525,0.132411082,Disabled,Disability_Status
1094,0.072034098,0.053608667,0.096376853,Disabled,Disability_Status
1099,0.088333323,0.066373219,0.116725506,Disabled,Disability_Status
1104,0.106745675,0.077570332,0.145232967,Disabled,Disability_Status
1109,0.097448605,0.068410501,0.137599197,Disabled,Disability_Status
1114,0.073834395,0.056095811,0.096748156,Disabled,Disability_Status
1119,0.068587233,0.046436753,0.10018672,Disabled,Disability_Status
1124,0.101743329,0.073500412,0.139157837,Disabled,Disability_Status
1129,0.072785849,0.050521831,0.103859043,Disabled,Disability_Status
1134,0.096812448,0.072681206,0.12796626,Disabled,Disability_Status
1144,0.104316841,0.075570175,0.142373565,Disabled,Disability_Status
1149,0.077300572,0.055922613,0.105996019,Disabled,Disability_Status
1154,0.080951893,0.058604154,0.111129666,Disabled,Disability_Status
1159,0.073633592,0.054024613,0.099593376,Disabled,Disability_Status
1164,0.076089313,0.052810632,0.108476057,Disabled,Disability_Status
