"","GEOID","year","name","parent.location","population","poverty.rate","renter.occupied.households","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","eviction.filings","evictions","eviction.rate","eviction.filing.rate","low.flag","imputed","subbed"
"1",25,2000,"Massachusetts","USA",6349097,9.34,935528,38.29,684,50502,185700,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,NA,NA,NA,NA,0,0,0
"2",25,2001,"Massachusetts","USA",6349097,9.34,373200,38.29,684,50502,185700,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,12106,8240,2.21,3.24,0,0,0
"3",25,2002,"Massachusetts","USA",6349097,9.34,561020,38.29,684,50502,185700,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,13812,8999,1.6,2.46,0,0,0
"4",25,2003,"Massachusetts","USA",6349097,9.34,296545,38.29,684,50502,185700,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,7341,6138,2.07,2.48,0,0,0
"5",25,2004,"Massachusetts","USA",6349097,9.34,275950,38.29,684,50502,185700,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,6641,5427,1.97,2.41,0,0,0
"6",25,2005,"Massachusetts","USA",6511176,7.03,495253,35.04,987,64496,357600,29.9,78.94,5.7,8.34,0.15,4.77,0.03,1.3,0.76,10275,8047,1.62,2.07,0,0,0
"7",25,2006,"Massachusetts","USA",6511176,7.03,496411,35.04,987,64496,357600,29.9,78.94,5.7,8.34,0.15,4.77,0.03,1.3,0.76,10096,8080,1.63,2.03,0,0,0
"8",25,2007,"Massachusetts","USA",6511176,7.03,515948,35.04,987,64496,357600,29.9,78.94,5.7,8.34,0.15,4.77,0.03,1.3,0.76,11940,9479,1.84,2.31,0,0,0
"9",25,2008,"Massachusetts","USA",6511176,7.03,830719,35.04,987,64496,357600,29.9,78.94,5.7,8.34,0.15,4.77,0.03,1.3,0.76,21677,16719,2.01,2.61,0,0,0
"10",25,2009,"Massachusetts","USA",6511176,7.03,832803,35.04,987,64496,357600,29.9,78.94,5.7,8.34,0.15,4.77,0.03,1.3,0.76,20384,15824,1.9,2.45,0,0,0
"11",25,2010,"Massachusetts","USA",6547629,7.75,938273,37.69,1056,66658,335500,30.1,76.13,5.98,9.59,0.16,5.31,0.02,1.87,0.94,24228,18803,2,2.58,0,0,0
"12",25,2011,"Massachusetts","USA",6705586,8.19,950163,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,26568,20452,2.15,2.8,0,0,0
"13",25,2012,"Massachusetts","USA",6705586,8.19,962052,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,33571,19648,2.04,3.49,0,0,0
"14",25,2013,"Massachusetts","USA",6705586,8.19,973943,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,34728,18131,1.86,3.57,0,0,0
"15",25,2014,"Massachusetts","USA",6705586,8.19,1008781,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,36146,18289,1.81,3.58,0,0,0
"16",25,2015,"Massachusetts","USA",6705586,8.19,1020997,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,37510,17986,1.76,3.67,0,0,0
"17",25,2016,"Massachusetts","USA",6705586,8.19,1033212,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,37121,15708,1.52,3.59,0,0,0
