Anon_ID,Moved,Des_Deflated_AGI,Change_AGI,Des_Age,Entering_Relationship,Dissolution_of,Child_Aged_Out,Additional_Child,Des_Number.of.Dependents,Race,Ed_Attain,Disability_Status,Gender,Com_per_0.5km_one_year,Res_per_0.5km_one_year,Mix_per_0.5km_one_year,Violent_Crimes_0.1km_one_year,Non_Violent_Crimes_0.1km_one_year,evictions,Org_Est_Rent_Adj,High_School_Grad,fit,se.fit,residual.scale,UL,LL,PredictedProb,Relationship_Status,Dependent_Status
00303dc0,0,25942,2535,42,No,No,No,No,3,Black,Some College,No,Female,1,66,7,8,64,42,978.1209418,Yes,-2.388106193,0.1484607,1,0.109376743,0.064218591,0.084084167,No Change,No Change
008ecf9d,0,36893,5297,39,No,No,No,No,2,Black,Some College,No,Female,8,91,17,4,100,18,628.5905077,Yes,-2.899454576,0.180633456,1,0.072735249,0.037201461,0.052180532,No Change,No Change
009374bc,0,4045,-14450,37,No,No,No,No,0,Multi,High School,No,Female,8,126,22,15,42,5,1314.961705,Yes,-2.215021268,0.1700879,1,0.132199583,0.072534482,0.098409661,No Change,No Change
00e64d69,0,25017,3852,33,No,No,No,No,2,Hispanic,Some College,No,Female,12,141,16,19,46,8,966.0379727,Yes,-2.061634315,0.142997713,1,0.144135431,0.087710974,0.112882067,No Change,No Change
1039116,0,26681,1489,51,No,No,No,No,0,Asian,College,No,Female,5,97,21,1,9,11,1043.329958,Yes,-2.273775044,0.16676181,1,0.124889382,0.069098002,0.093318315,No Change,No Change
01556e5d,0,-4316,-23592,27,No,No,No,No,1,Black,High School,No,Female,12,92,13,34,76,38,903.0832086,Yes,-1.550229695,0.121918344,1,0.212274448,0.143172104,0.175053096,No Change,No Change
01a39a53,0,23419,17191,48,No,No,No,No,0,Asian,Some College,No,Female,39,55,15,5,39,23,1109.098594,Yes,-2.452331224,0.178017362,1,0.108765131,0.057256922,0.079268238,No Change,No Change
026fafab,0,15077,8464,20,No,No,No,No,0,Hispanic,Some College,No,Male,74,187,155,2,15,2,2099.485389,Yes,-1.794723848,0.210866699,1,0.200780217,0.099032369,0.142494542,No Change,No Change
02c5ce41,0,7506,987,47,No,No,No,No,0,Black,High School,No,Female,7,78,23,6,29,23,801.0101302,Yes,-2.097154874,0.08903121,1,0.127565936,0.093497758,0.10937366,No Change,No Change
036e4be9,0,1747,-724,67,No,No,No,No,0,White,Advanced Degree,Disabled,Male,20,149,34,4,31,3,1095.608848,Yes,-2.989003031,0.16645579,1,0.065207525,0.035051498,0.047925159,No Change,No Change
045d7978,0,13170,8903,19,No,No,No,No,0,Black,High School,No,Female,8,71,25,3,23,17,874.5572043,Yes,-1.490858668,0.105628265,1,0.216899442,0.154741035,0.183792881,No Change,No Change
4983737,0,24791,3078,26,No,No,No,No,0,White,College,No,Male,3,41,8,6,20,18,922.1323975,Yes,-1.578494759,0.132609656,1,0.211054669,0.137239485,0.171008767,No Change,No Change
0532ca71,0,12576,393,24,No,No,No,No,1,Black,Advanced Degree,No,Female,4,91,12,6,51,28,666.118567,Yes,-1.880722261,0.096203964,1,0.155491663,0.112118491,0.132305935,No Change,No Change
055b3c5a,0,-12462,-21420,19,No,No,No,No,0,White,High School,Disabled,Female,4,83,9,18,49,15,1004.393089,Yes,-1.84742766,0.17634613,1,0.182158816,0.100374888,0.136175202,No Change,No Change
056d9f35,0,16792,1492,57,No,No,No,No,1,Hispanic,Some College,No,Male,33,65,36,8,39,7,1346.9363,Yes,-2.592409773,0.135084788,1,0.088859261,0.054311566,0.069628515,No Change,No Change
0583405e,0,12065,4639,43,No,No,No,No,1,Hispanic,Some High School,No,Male,18,59,12,2,48,11,1136.16501,No,-2.284949161,0.156917273,1,0.121597201,0.069622216,0.09237716,No Change,No Change
05cb51be,1,17758,-1245,26,No,No,No,No,0,Hispanic,High School,No,Male,3,103,6,1,13,15,741.2884277,Yes,-1.709922895,0.128805586,1,0.188855514,0.123209509,0.153173717,No Change,No Change
05eecfb1,0,11774,-19639,51,No,No,Yes,No,0,Black,High School,Disabled,Female,8,142,23,9,35,16,1032.392192,Yes,-2.244909295,0.197473891,1,0.134952627,0.067109756,0.095789484,No Change,Empty Nester
067e3ac4,0,-4319,-22281,30,No,No,No,No,0,White,No High School,No,Male,3,71,1,4,14,33,1123.461506,No,-1.319288291,0.170880255,1,0.272026929,0.160540284,0.210936728,No Change,No Change
06bdba78,0,4355,-1320,46,No,No,No,No,0,Hispanic,College,No,Female,67,74,92,5,56,30,1990.960325,Yes,-2.698330753,0.155691786,1,0.083694631,0.047268606,0.063071926,No Change,No Change
06cf036c,0,-14461,-22424,33,No,No,No,No,1,Multi,Some College,No,Female,3,5,23,1,11,5,1707.574094,Yes,-2.057664988,0.193157241,1,0.157217755,0.080449657,0.113280165,No Change,No Change
06e03fe0,0,-6602,-12684,21,No,No,No,No,0,White,High School,Lost Disabilty Benifits,Male,2,57,7,3,9,12,1107.452574,Yes,-1.550623047,0.291526655,1,0.273044436,0.106975394,0.174996299,No Change,No Change
0712b960,0,4066,-13603,54,No,No,No,No,0,Black,High School,No,Female,12,83,21,17,47,38,892.628996,Yes,-2.14709255,0.091729933,1,0.122678987,0.088920843,0.104603226,No Change,No Change
071812f2,0,21299,4638,53,No,No,No,No,1,Hispanic,High School,No,Female,4,77,15,4,45,2,1382.780686,Yes,-2.76717703,0.136437942,1,0.0758751,0.045887213,0.059123855,No Change,No Change
0732a134,0,-7801,-26585,34,No,No,Yes,No,0,Hispanic,Some High School,Disabled,Male,7,79,10,10,20,8,1092.613557,No,-1.612457505,0.233995608,1,0.239790922,0.111938747,0.166247701,No Change,Empty Nester
08285cd9,0,14145,-4624,64,No,No,No,No,0,Black,No High School,No,Male,3,90,2,8,29,21,941.7841153,No,-1.996587651,0.127313866,1,0.148419353,0.095684427,0.119561663,No Change,No Change
8.46E+07,0,32195,9078,22,No,No,No,No,0,Black,Some College,No,Female,3,28,29,8,83,52,1063.128518,Yes,-2.098391498,0.155529821,1,0.142637662,0.082926728,0.109253257,No Change,No Change
085e87c4,0,27197,-1615,62,No,No,No,No,0,White,College,No,Male,15,83,50,1,12,13,938.2094604,Yes,-2.458726509,0.143445364,1,0.101782542,0.060660774,0.078802734,No Change,No Change
08b1bef5,1,-15915,-20070,19,No,No,No,No,0,Hispanic,Some College,No,Female,31,107,10,6,19,8,972.3929068,Yes,-1.584798283,0.147046337,1,0.214739902,0.133193928,0.170117001,No Change,No Change
08ee724a,0,23855,1855,45,No,No,No,Yes,4,Hispanic,Some High School,No,Male,17,57,3,8,46,46,1042.186962,No,-1.999174153,0.234776391,1,0.176678885,0.078758509,0.119289658,No Change,Had Child
